test,feature,params,nperseg,length, size ,overall,negative,10m,20m,30m,40m
2,spectral,70-9000,512,4," 19,838 ",70,100,99,87,39,35
2,spectral,70-9000,512,5," 19,825 ",87,100,100,98,83,58
2,spectral,70-9000,512,6," 30,560 ",87,100,100,100,85,52
2,spectral,70-9000,1024,2," 30,560 ",86,100,100,99,87,46
2,spectral,70-9000,1024,3," 30,520 ",81,100,100,91,64,56
2,spectral,70-9000,1024,4," 28,975 ",96,100,100,98,95,86
2,spectral,70-9000,1024,5," 40,874 ",96,100,100,100,95,83
2,spectral,70-9000,1024,6," 40,874 ",78,100,100,98,68,32
2,spectral,70-9000,2048,2," 40,439 ",87,99,100,99,85,53
2,spectral,70-9000,2048,3," 39,650 ",94,99,100,100,92,78
2,spectral,70-9000,2048,4," 50,997 ",90,100,100,96,86,70
2,spectral,70-9000,2048,5," 50,806 ",88,100,100,97,77,69
2,spectral,70-9000,2048,6," 50,358 ",80,100,100,95,55,55
2,spectral,70-9000,4096,2," 50,325 ",76,99,99,88,53,49
2,spectral,70-9000,4096,3," 61,311 ",98,93,100,100,100,97
2,spectral,70-9000,4096,4," 61,120 ",98,99,100,100,98,90
2,spectral,70-9000,4096,5," 61,040 ",100,100,100,100,99,98
2,spectral,70-9000,4096,6," 61,000 ",96,100,100,100,98,85
